[20251125-221127] Running bandwidth scraper
/Users/ckolik/Projects/fios-lens/scraper/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-11-25 22:11:28,077 INFO bandwidth_scraper - Navigating to login page https://192.168.1.1/#/login/
2025-11-25 22:11:29,993 INFO bandwidth_scraper - Login successful.
2025-11-25 22:11:29,993 INFO bandwidth_scraper - Collecting bandwidth metrics from https://192.168.1.1/#/adv/monitoring/bandwidth
2025-11-25 22:13:02,176 INFO bandwidth_scraper - Collecting bandwidth metrics for 09AA01AC411705CV (1/79)
2025-11-25 22:13:02,176 INFO bandwidth_scraper - Collecting bandwidth metrics for 18963 (2/79)
2025-11-25 22:13:02,176 INFO bandwidth_scraper - Collecting bandwidth metrics for 49TCLRokuTV (3/79)
2025-11-25 22:13:02,176 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-244372b15 (4/79)
2025-11-25 22:13:02,176 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-3a75d5331 (5/79)
2025-11-25 22:13:02,176 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-946da2be82a4ca43 (6/79)
2025-11-25 22:13:02,177 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-a1c7142f8 (7/79)
2025-11-25 22:13:02,177 INFO bandwidth_scraper - Collecting bandwidth metrics for amazon-a356c9c8b (8/79)
2025-11-25 22:13:02,177 INFO bandwidth_scraper - Collecting bandwidth metrics for AmazonPlug03G2 (9/79)
2025-11-25 22:13:02,177 INFO bandwidth_scraper - Collecting bandwidth metrics for android-9ea19400c077527 (10/79)
2025-11-25 22:13:02,177 INFO bandwidth_scraper - Collecting bandwidth metrics for Bond-TADDAFF13376 (11/79)
2025-11-25 22:13:02,177 INFO bandwidth_scraper - Collecting bandwidth metrics for CADC-RA-CE-12 (12/79)
2025-11-25 22:13:02,177 INFO bandwidth_scraper - Collecting bandwidth metrics for DEFAULT (13/79)
2025-11-25 22:13:02,178 INFO bandwidth_scraper - Collecting bandwidth metrics for DESKTOP-RUBY (14/79)
2025-11-25 22:13:02,178 INFO bandwidth_scraper - Collecting bandwidth metrics for E3200-3CBDC5ECDA9A (15/79)
2025-11-25 22:13:02,178 INFO bandwidth_scraper - Collecting bandwidth metrics for Google-Home-Mini (16/79)
2025-11-25 22:13:02,178 INFO bandwidth_scraper - Collecting bandwidth metrics for HPF4D1AA (17/79)
2025-11-25 22:13:02,178 INFO bandwidth_scraper - Collecting bandwidth metrics for HS103 (18/79)
2025-11-25 22:13:02,178 INFO bandwidth_scraper - Collecting bandwidth metrics for Indoorcam (19/79)
2025-11-25 22:13:02,178 INFO bandwidth_scraper - Collecting bandwidth metrics for iPad (20/79)
2025-11-25 22:13:02,179 INFO bandwidth_scraper - Collecting bandwidth metrics for iPad (21/79)
2025-11-25 22:13:02,179 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (22/79)
2025-11-25 22:13:02,179 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (23/79)
2025-11-25 22:13:02,179 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (24/79)
2025-11-25 22:13:02,179 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (25/79)
2025-11-25 22:13:02,179 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (26/79)
2025-11-25 22:13:02,179 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (27/79)
2025-11-25 22:13:02,180 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (28/79)
2025-11-25 22:13:02,180 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (29/79)
2025-11-25 22:13:02,180 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (30/79)
2025-11-25 22:13:02,180 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (31/79)
2025-11-25 22:13:02,180 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (32/79)
2025-11-25 22:13:02,180 INFO bandwidth_scraper - Collecting bandwidth metrics for iPhone (33/79)
2025-11-25 22:13:02,180 INFO bandwidth_scraper - Collecting bandwidth metrics for Kellys-Air (34/79)
2025-11-25 22:13:02,180 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (35/79)
2025-11-25 22:13:02,181 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (36/79)
2025-11-25 22:13:02,181 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (37/79)
2025-11-25 22:13:02,181 INFO bandwidth_scraper - Collecting bandwidth metrics for lwip0 (38/79)
2025-11-25 22:13:02,181 INFO bandwidth_scraper - Collecting bandwidth metrics for Mac (39/79)
2025-11-25 22:13:02,181 INFO bandwidth_scraper - Collecting bandwidth metrics for MacBook-Pro (40/79)
2025-11-25 22:13:02,181 INFO bandwidth_scraper - Collecting bandwidth metrics for MacBookPro (41/79)
2025-11-25 22:13:02,181 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (42/79)
2025-11-25 22:13:02,182 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (43/79)
2025-11-25 22:13:02,182 INFO bandwidth_scraper - Collecting bandwidth metrics for Nest-Cam (44/79)
